"rweibull.1000..shape...1.955753..scale...912.387341.";"c"
733.184683840254;0
455.575339111164;0
446.959791190872;0
903.101906941174;0
485.639956077056;0
372.740730743523;0
886.341284853843;0
219.647331172343;0
732.156652449964;0
570.138549662358;0
575.452662122402;0
1260.51798551817;0
1928.53254023193;0
542.367567057012;0
625.646624369238;0
304.100266012152;0
567.788654402217;0
1071.32287494819;0
843.7713609485;0
975.606964263979;0
833.044677757207;0
774.66758479031;0
523.062019354052;0
1175.93226115868;0
546.78857981582;0
495.946862963748;0
511.499701292094;0
1103.33263091618;0
257.796363232001;0
1755.40772845478;0
573.958174469921;0
1149.34094133835;0
1139.69149034271;0
986.709487966228;0
669.256032931695;0
1619.95307468564;0
1069.77850939324;0
1289.49524477514;0
996.53457955879;0
1166.41270599599;0
373.116130895411;0
880.839747409936;0
127.917493289737;0
595.334773441438;0
975.308180414798;0
1052.91739785457;0
226.426260605185;0
321.26148409845;0
1594.89736657226;0
1160.28944440376;0
1472.62609146776;0
808.550650269781;0
298.081371687347;0
259.393495235889;0
1056.58789983502;0
498.821364022181;0
126.906156924096;0
985.511823596621;0
313.184575338696;0
342.99082079242;0
437.632509927569;0
920.616075026695;0
1499.58512725702;0
1073.3039497203;0
1193.4189458827;0
981.431899747496;0
756.602438184723;0
344.723397940468;0
479.061586720942;0
519.584586299823;0
170.071249350304;0
1141.50474546505;0
554.252673875465;0
261.617895138858;0
861.299340735482;0
824.983160040126;0
643.474791294454;0
686.034015242494;0
1292.35626265424;0
598.565011003106;0
604.324540503539;0
1838.21916989342;0
512.910405832701;0
1155.79243708089;0
424.923133028159;0
233.809376567051;0
610.487802859378;0
868.789640571025;0
1091.86341795468;0
511.943201588791;0
317.049257563278;0
1238.21309260095;0
953.857273946065;0
688.581772420061;0
602.882221020302;0
1073.88396088602;0
1492.2651827144;0
592.896119563968;0
1265.59784530568;0
729.097425321989;0
738.594591867713;0
328.036594660039;0
693.466501729691;0
1378.89650968492;0
1672.12583557428;0
322.429492198961;0
316.878058529944;0
1058.46163205886;0
455.933318757446;0
289.815939061058;0
1276.55145096088;0
626.335611878189;0
